"National Pokédex
number",English,Notes
495,Snivy,"It bathes its tail with sunlight by using photosynthesis. If its not feeling so well, its tail will start to droop."
496,Servine,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip."
497,Serperior,It can stop its opponents' movements with just a glare. It takes in solar energy and boosts it internally. It is based on the Titanoboa.
498,Tepig,"It blows fire through its nose. When it catches a cold, the fire becomes pitch-black smoke instead."
499,Pignite,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke."
500,Emboar,A flaring beard of fire is proof that it is fired up. It is adept at using many different moves.
501,Oshawott,"Oshawott is known as the Sea Otter Pokémon. The shell on its belly, known as a scalchop, is made of the same components as fingernails. Strangely, the scalchop has been known to grow from Oshawott's navel.[2] It can detach the scalchop from its body and use it as a blade.[3] It fights using the scalchop as a blade, and can block and attack the foe back in an instant.[4] Oshawott was designed to be the ""cute"" one of them as well as acting as a ""den mother figure"" to the other two."
502,Dewott,"Dewott's appearance is somewhat similar to Oshawott except that it is primarily light blue in coloration, has white whiskers and has a blue adornment with two scalchops around its waist. Like Oshawott, these can be detached and used as weapons. With rigorous training, Dewott acquires the ability to perform two-shell attacks with flowing swordsmanship.[5] Unlike its pre-evolutions. Dewott was also the last of the second form of the starters to be designed. In an interview with Ken Sugimori, he stated that they were concerned on what to make Oshawott evolve into after watching sea otters at a zoo."
503,Samurott,"Samurott is a quadruped, sea lion-like Pokémon. It can silence its enemies by glaring at them and it can defeat an opponent by swinging the swords on its armor,[6] known as seamitars.[7] he decided to make the third evolution based on a sea lion, with Oshawott's shell turned into a sword. He also stated that Oshawott's evolution would be Japanese style of design. He also cited the powerful nature from them such as the ""sound they made when they stamped on the ground.""[8][9] Sugimori also intended to design Samurott to be a completely different shape from Oshawott that would aid in making it a ""den mother"" figure.[8]"
504,Patrat,"When its sleeping, one stays awake to watch. Although they never see foes coming from behind."
505,Watchog,"If one does see an enemy, its tail will stand straight and spit seeds that and stores in its cheek pouches."
506,Lillipup,"It's a good starting Pokémon because it listens well and easy to train. As its Japanese name suggests, Lillipup is based on a Yorkshire Terrier."
507,Herdier,It's completely faithful to its trainer and Herdier have helped trainers in raising other species since long ago.
508,Stoutland,Its fur is warm enough that someone wrapped in it wouldn't feel the cold of a blizzard on a snowy mountain. It would never harm a human.
509,Purrloin,"In the Pokémon Black & White anime series, the character Cilan is afraid of Purrloin. It tries to steal things like jewelry from women. But the victims think that the act is so cute, they let it slide."
510,Liepard,"Liepard, the Cruel Pokémon and the evolved form of Purrloin. Well-known for its beauty, Liepard uses the element of surprise when battling opponents, attacking before they can react."
511,Pansage,Eating its leaves relieve stress and it readily shares them with weary Pokémon.
512,Simisage,It attacks with its thorn covered tail.
513,Pansear,"Spending its time in volcanic caves, it roasts berries before eating them."
514,Simisear,"In a 2016 vote by Corocoro to determine who the most popular Pokémon is, Simisear was ranked in last place among the 721 different species at the time."
515,Panpour,Its water is full of nutrients. Any plant receiving its water is guaranteed to grow to great size.
516,Simipour,It will water flowers from its tail.
517,Munna,"It consumes dreams, then emits mist, the color of which corresponding to if the consumed dream was a good one or a nightmare."
518,Musharna,The mist it emits forms the shape of objects from recently eaten dreams. It becomes angry when roused from sleep.
519,Pidove,They live in cities and are accustomed to people. They are extremely forgetful.
520,Tranquill,"Since it always knows where its nest is, it never gets separated from its Trainer."
521,Unfezant,"They are very intellegent and prideful. Males have extravagant plumage, but females have better flying ability."
522,Blitzle,The flashes it produces helps it communicates with others by using patterns.
523,Zebstrika,"They are quite ill-tempered. When angry, lightning shoots out of their mane in all directions."
524,Roggenrola,"The orange part of its body is actually its ear. Its curious enough to follow sounds, but if the sounds stop, it freaks out and topples over."
525,Boldore,They move around without turning their bodies. Their crystals glow when they are about to shoot an energy beam.
526,Gigalith,They can absorb solar energy and shoot beams capable of blowing away dump trucks. They are popular with construction workers.
527,Woobat,"They hang onto cave walls with their noses, leaving heart-shaped marks. Seeing one on your body is a sign of good fortune."
528,Swoobat,Their ultrasonic waves can shatter concrete. Ultrasonic waves created by males during mating season bring happiness to those who hear them.
529,Drilbur,"By spinning its body 360 degrees, it can dig easily through the ground."
530,Excadrill,"They are known as ""The Drill King"". They build nests more than 300 feet beneath the earth's surface."
531,Audino,It can hear very well. Audino is the only Generation V Pokémon with a Mega Evolution.
532,Timburr,"Always carrying squared logs, it loves to help out with construction."
533,Gurdurr,A group of wrestlers couldn't make it bulge an inch. It can topple buildings with its steel beam.
534,Conkeldurr,It is said to have taught humans how to create concrete. It masterfully utilizes the centrifugal force of its concrete pillars.
535,Tympole,They communicate by vibrating their cheeks.
536,Palpitoad,"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land."
537,Seismitoad,Its vibrating bumps are great for massages. It can shatter boulders with one punch.
538,Throh,"In the wild, it uses vines as belts."
539,Sawk,They train constantly to obtain the strongest karate chop. They are enraged if this is disturbed.
540,Sewaddle,It makes clothes from leaves. It is a popular mascot for fashion designers.
541,Swadloon,It spends all day eating fallen leaves. Forests with Swadloon have excellent plant life.
542,Leavanny,It makes clothes from leaves for small Pokémon. It keeps its eggs warm with leaves.
543,Venipede,Its bite can paralyze large bird Pokémon. It tries to eat anything it thinks it can without much thought.
544,Whirlipede,"It may look harmless, but if its in danger, it will spin over to you and crash into you at high spped."
545,Scolipede,
546,Cottonee,
547,Whimsicott,Whimsicott appears in the background of the stage Unova Pokémon League in Super Smash Bros. for Nintendo 3DS and Super Smash Bros. Ultimate.
548,Petilil,
549,Lilligant,
550,Basculin,"Basculin are based on piranhas.[10] When a school appears, every other Pokémon goes away except the Corphish line."
551,Sandile,"In the Pokémon Black & White anime series, Sandile is portrayed as wearing shades. This goes for its Evolutions as well."
552,Krokorok,
553,Krookodile,This crocodile-like Pokémon is known as the Bully of the Sands. Krookodile's mighty jaws can bite through heavy plates of iron with almost no effort at all.
554,Darumaka,Its droppings are warm so people use them to keep themselves warm. It is based on a Daruma Doll and has a Galarian Form that is an Ice type.
555,Darmanitan,It has a Galarian Form that is an Ice type.
,,"Should Darmanitan have its Hidden Ability, Zen Mode, upon losing at least half of its max HP, it will become Fire and Psychic type. Its Galarian Form becomes Ice and Fire type."
556,Maractus,"When it shakes its hands around, It sounds like maracas are being played."
557,Dwebble,
558,Crustle,"When it battles for territory, the one that broke its shell more is the loser."
559,Scraggy,
560,Scrafty,"Its loose skin is reminiscent of hoodies worn around New York City, the basis for the Unova region."
561,Sigilyph,Sigilyph's design is based on the Nazca Lines.
562,Yamask,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry. It has a Galarian Form that is an Ground and Ghost type.
563,Cofagrigus,A Ghost-type Pokémon based on cursed sarcophagus. It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets. It has a Galarian counterpart Runerigus that is an Ground and Ghost type.
564,Tirtouga,
565,Carracosta,
566,Archen,A fossil Pokémon based on the Archaeopteryx.
567,Archeops,"This ancient Pokémon's plumage is delicate, so if anyone other than an experienced professional tries to restore it, they will fail."
568,Trubbish,"Based on garbage bags, Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places."
569,Garbodor,"This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten."
570,Zorua,
571,Zoroark,"It can make illusions so real, people sometimes believe they are real."
572,Minccino,It loves to clean. It even has a broom-like tail.
573,Cinccino,
574,Gothita,"They intently observe both Trainers and Pokémon. Apparently, they are looking at something that only Gothita can see."
575,Gothorita,"Starlight is the source of their power. At night, they mark star positions by using psychic power to float stones."
576,Gothitelle,"They can predict the future from the placement and movement of the stars. They can see Trainers' life spans. It is based on Romani soothsayers and a woman in Gothic lolita clothing. Like it's pre-evolved forms, Gothitelle also has a 25% male, 75% female gender ratio."
577,Solosis,They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.
578,Duosion,"If its 2 brains think the same thing, its psychic power is doubled."
579,Reuniclus,
580,Ducklett,
581,Swanna,
582,Vanillite,Vanillite and its evolutionary line were designed by British artist James Turner. They are based on ice cream cones.[11]
583,Vanillish,
584,Vanilluxe,
585,Deerling,Form changes depending on the in-game season.
586,Sawsbuck,Form changes depending on the in-game season.
587,Emolga,
588,Karrablast,"It evolves by trading one for Shelmet. Alternatively, the player can evolve it in Pokémon Go by using 200 Karrablast Candies."
589,Escavalier,
590,Foongus,"Both Foongus and it's evolution, have their names based on a corruption of the phrase, ""Fungus among us."
591,Amoonguss,"They show off their Poké Ball caps to lure prey, but very few Pokémon are fooled by this. Due to the fact that its Pokédex entries imply it preys on humans, it appears to be based on the mushroom monsters from The Voice in the Night, a short story by the English writer William Hope Hodgson that inspired a famous Japanese cult film, Matango."
592,Frillish,
593,Jellicent,
594,Alomomola,Alomomola are based on the sunfish.[10]
595,Joltik,
596,Galvantula,
597,Ferroseed,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away."
598,Ferrothorn,It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.
599,Klink,
600,Klang,"It can shoot the other gear[clarification needed] at its foes. If the other gear does not come back, it will not go with any other Klink gear and die."
601,Klinklang,It uses its red core as an energy tank and spins its spikes to charge itself.
602,Tynamo,Tynamo and its evolutions are based on the sea lamprey.[10]
603,Eelektrik,
604,Eelektross,
605,Elgyem,"Its name comes from LGM, ""Little Green Men"". The flashing lights on its hand allows it to communicate with each other."
606,Beheeyem,"Its name comes from BEM, ""Bug-eyed monster""."
607,Litwick,The flame it has is actually because it's burning souls that it uses as food.
608,Lampent,It hangs around hospitals waiting for people to die.
609,Chandelure,Chandelure is a playable character in Pokkén Tournament DX. It is also an enemy in the Smash Run mode in Super Smash Bros. for Nintendo 3DS. It is a boss in PokéPark 2: Adventures Beyond.
610,Axew,The partner of Iris in the Black and White anime.
611,Fraxure,
612,Haxorus,
613,Cubchoo,"If it sniffles its runny nose, it gains more power. The viscosity of its snot determines its health, a sick Cubchoo's snot is watery while healthy Cubchoo have thick and viscous mucus."
614,Beartic,It freezes its breath to create fangs and claws of ice to fight with. Cold northern areas are its habitat. It is based on a polar bear.
615,Cryogonal,It is an enemy in the Smash Run mode in Super Smash Bros. for Nintendo 3DS.
616,Shelmet,"Trading one for Karrablast will evolve it. Alternatively, the player can evolve it in Pokémon Go by using 200 Shelmet Candies."
617,Accelgor,It is very quick on its feet.
618,Stunfisk,Stunfisk is based on the flatfish.[10] It has a Galarian form that looks similar to a bear trap and is a Ground and Steel type.
619,Mienfoo,
620,Mienshao,
621,Druddigon,"A dragon-like Pokémon that lives in caves. It races through narrow caves, using its sharp claws to catch prey. The skin on its face is harder than a rock."
622,Golett,"Golett and Golurk are among the first Pokémon to be designed by a Western artist.[12] Golurk's design is inspired by the Golem of Prague of Jewish folklore, a clay figure given life to protect the Jewish people of Prague from attacks and persecution.[13]"
623,Golurk,
624,Pawniard,Small samurai-like Pokémon that fight at Bisharp's command. They cling to their prey and inflict damage by sinking their blades into it.
625,Bisharp,"Based on samurais, it leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses."
626,Bouffalant,"Based on the American bison, the fur on its head resembles an afro haircut."
627,Rufflet,"They will challenge anything, even strong opponents, without fear. Their frequent fights help them become stronger."
628,Braviary,"A Pokémon based on the bald eagle. Its color scheme may also be inspired by the red, white and blue of the flag of the United States. Additionally, its design may be influenced by Native American culture, which is apparently reflected in the feathers on its head, resembling war bonnets."
629,Vullaby,
630,Mandibuzz,It uses bones to style itself.
631,Heatmor,"Based on the giant anteater, Heatmor will try to burn through Durant's weak armor and then eat it."
632,Durant,It tries to size up and defend itself against Heatmor.
633,Deino,"Deino, derived from ""one"" in German, is blind so it usually bites things and comes out with scratches."
634,Zweilous,"Zweilous, derived from ""two"" in German, has two heads which fight over food a lot."
635,Hydreigon,"Hydreigon, derived from ""three"" in German and dragon, has three heads. Before it evolves, the heads fight to determine who will be the dominant head."
636,Larvesta,
637,Volcarona,"Thought to be an embodiment of the sun, it appeared during a bitterly cold winter and saved Pokémon from freezing."
638,Cobalion,Cobalion's design is inspired by Athos from The Three Musketeers.[14]
639,Terrakion,Terrakion's design is inspired by Porthos from The Three Musketeers.[14]
640,Virizion,Virizion's design is inspired by Aramis from The Three Musketeers.[14]
641,Tornadus,"Tornadus' ""Incarnate Forme"" is inspired by the Japanese Fūjin, the Shinto God of the wind. Its ""Therian Forme"" stems from the Four Symbols of Chinese myth, specifically the Vermilion Bird. It is capable of transforming between forms via an item called the ""Reveal Glass"".[13][15]"
642,Thundurus,"Thundurus' ""Incarnate Forme"" is inspired by the Japanese Raijin, the Shinto God of lightning, thunder and storms. Its ""Therian Forme"" stems from the Four Symbols of Chinese myth, specifically the Azure Dragon. It is capable of transforming between forms via an item called the ""Reveal Glass"".[13][15]"
643,Reshiram,It can be owned by either the player or the character N. Reshiram is also the main legendary for Pokémon Black.
644,Zekrom,It powers up with electricity from its tail. It can either be owned by the player or the character N. It is the main legendary for Pokémon White.
645,Landorus,"Landorus' ""Incarnate Forme"" is inspired by the Japanese Inari Ōkami, the Shinto God of agriculture and fertility. Its ""Therian Forme"" stems from the Four Symbols of Chinese myth, specifically the White Tiger. It is capable of transforming between forms via an item called the ""Reveal Glass"".[13][15]"
646,Kyurem,"Capable of fusing with either Reshiram or Zekrom to become ""White Kyurem"" or ""Black Kyurem"", respectively, it generates an ultracold freezing energy inside itself but its body froze part way. It awaits a hero to fill its missing parts with either truth or ideals."
647,Keldeo,Keldeo's design is inspired by d'Artagnan from The Three Musketeers.[14]
648,Meloetta,"Its ""Aria Forme"" can use its voice to control the feelings of both people and Pokemon. Many songs were inspired from it."
,,"""Pirouette Forme"""
649,Genesect,"It was altered by Team Plasma after it was revived. In Super Smash Bros. for Nintendo 3DS and Wii U and Super Smash Bros. Ultimate, he will use Techno Blast on the opponents."
650,Chespin,"Chespin are small creatures that can harden the quills on their head to smash rocks.[17] Its design is based on a chestnut and a hedgehog.[18] In the anime, Chespin is the only Grass-type starter to never be captured by Ash."
651,Quilladin,"Quilladin are a kind species that features tough shell of armor.[19][20] Upon Quilladin's reveal prior to the release of X and Y, fans expressed distaste over its wrecking ball-like design.[15] Its design has elements of a pine cone and squirrel.[18]"
652,Chesnaught,"Chesnaught are powerful, hedgehog Pokémon capable of moving tanks and withstanding explosions.[21][22] It is based on Glyptodon."
653,Fennekin,Fennekin are fox-like Pokémon whose ears can heat the air to 200 °C (390 °F).[23] Its design is based on the fennec fox.[18]
654,Braixen,"Braixen are fox-like Pokémon that use a flaming twig, stored in their tail fur, to battle.[24] Its English name is a portmanteau of braise and vixen.[15]"
655,Delphox,"Delphox are fox-like Pokémon with psychic abilities capable of creating 3,000 °C (5,400 °F) flames.[25]"
656,Froakie,Froakie are frog-like Pokémon that can secrete defensive bubbles from their back and neck.[26]
657,Frogadier,"Frogadier are agile frog-like Pokémon said to be capable of climbing a 610 m (2,000 ft) building in a minute.[27] Its English name is a portmanteau of frog and brigadier.[15]"
658,Greninja,"A ninja frog Pokémon, Greninja are able to create shurikens from water that can slice metal.[28] Greninja that have the ability ‘Battle Bond’ are capable of transforming into ‘Ash-Greninja’ (a form of Greninja based on the change that occurs in the Pokémon XY anime series that happens whenever Ash Ketchum’s Grenenja has a strong connection with Ash). [29] As seen in the anime, if one fails to master the Bond Phenomenon, both Greninja and its trainer may faint from exhaustion. Greninja's design has been well received by fans and critics alike.[18][30] In a 2016 poll, Greninja was voted as the most popular Pokémon in Japan.[31] In the 2020 Pokémon of the Year Poll run by Google, Greninja is the most voted Pokémon in the world.[32] It is also a playable character in Super Smash Bros. for 3DS and Wii U and Super Smash Bros. Ultimate."
659,Bunnelby,Bunnelby are rabbit-like Pokémon that use their large ears as shovels to dig burrows. Their ears are extremely strong and cannot break.[33] Bunnelby's design is inspired by the local wildlife of France.[1]
660,Diggersby,"A rabbit-like Pokémon, Diggersby are said to be as powerful as an excavator and can lift boulders weighing one ton with its ears.[34]"
661,Fletchling,Fletchling are small robin Pokémon that are known for being both friendly and fiercely territorial.[35][36] Fletchling is the standard early-game flying-type Pokémon.[18]
662,Fletchinder,"Fletchinder have a flame sac on their undersides that, when heated, allow them to fly faster.[37]"
663,Talonflame,"Talonflame can fly at speeds of 500 km/h (310 mph) while attacking prey.[38] During the Generation VI-era (2013–2016), Talonflame was one of the most-used Pokémon in competitions. It proved incredibly useful in the ""hyper-offensive"" Pokémon Video Game Championships and appeared on just over 41 percent of Winter 2014 teams. The entire metagame shifted in order to counter Talonflame, with most players adding dedicated strategies to taking it down. Later iterations of the game nerfed Talonflame, culminating with Sun and Moon adding multiple counters to the Pokémon.[39]"
664,Scatterbug,Scatterbug cover themselves in protective powder that allow them to survive in any climate.[40]
665,Spewpa,"A meek Pokémon, Spewpa live in the shadows and have strong bodies.[41][42]"
666,Vivillon,"Vivillon's wings feature 18 different patterns that are dependent upon the player's real-world location (determined by their user settings on the Nintendo 3DS).[43] A special Poké Ball pattern Vivillon was released at the Pokémon Center in Paris on June 4, 2014,[44] and then worldwide on August 6, 2014, in commemoration of the launch of the franchise's online store.[45] The 20th pattern was released on July 7, 2014, as a commemoration for 100 million trades through the game's Global Trade System (GTS).[46]"
667,Litleo,Litleo are lion like pokemon that can play depending on how it feels.
668,Pyroar,"Male Pyroar feature a large lion's mane, while female Pyroar have a long ponytail mane.[15] Regarded as ""majestic"" and ""bad-ass"", Pyroar's design, particularly the male variant, has been well received.[18]"
669,Flabébé,"Flabébé are tiny—only 10 cm (4 in) tall—carefree, humanoid Pokémon that cling to a flower for their whole life.[18][47]"
670,Floette,"A unique Floette known as Eternal Flower Floette, holding a black and red flower, belongs to the character AZ.[48]"
671,Florges,"Since we love roses, Florges is based on flowers."
672,Skiddo,An Ibex pokemon that is covered in grass.
673,Gogoat,A goat Pokémon covered in grass that can be mounted for travel.[18]
674,Pancham,Pancham's design is heavily based on pandas.[18]
675,Pangoro,Pangoro was designed by Hitoshi Ariga.[14]
676,Furfrou,Furfrou are poodle Pokémon.[15]
677,Espurr,"Espurr are kitten-like pokemon. It's face never changes expression, as it is constantly focused on holding in its psychic energy.[1]"
678,Meowstic,There are 2 different version of Meowstic depending on its gender.
679,Honedge,Honedge was designed by Hitoshi Ariga.[14] It will take your soul if you try to grab its hilt.
680,Doublade,Doublade was designed by Hitoshi Ariga.[14]
681,Aegislash,Aegislash was designed by Hitoshi Ariga.[14]
682,Spritzee,Its beak is reminiscent of masks worn by Plague doctors.
683,Aromatisse,"GamesRadar has described Aromatissee as ""a weird hybrid of Jynx and Jigglypuff.""[18]"
684,Swirlix,It is based on a Cotton candy.
685,Slurpuff,
686,Inkay,Inkay and Malamar were designed by Hitoshi Ariga.[14] Inkay requires a unique condition for it to evolve into Malamar: the player must turn their 3DS upside down when Inkay reaches level 30.[18]
687,Malamar,
688,Binacle,
689,Barbaracle,
690,Skrelp,Skrelp and Dragalge's designs are based on the common seadragon and leafy seadragon.[50][51]
691,Dragalge,
692,Clauncher,It is based on the pistol shrimp.
693,Clawitzer,"After using the feelers on its oversized claw to detect the location of prey, Clawitzer launches a cannonball of water at its target."
694,Helioptile,The frills on either side of its head have cells that generate electricity when exposed to sunlight.
695,Heliolisk,They flare their frills and generate energy. A single Heliolisk can generate sufficient electricity to power a skyscraper.
696,Tyrunt,"Tyrunt and Tyrantrum were designed by Hitoshi Ariga.[14] Their designs are based on Tyrannosaurus rex.[15] These are Fossil Pokemon, and must be revived to be obtained"
697,Tyrantrum,
698,Amaura,"Amaura and Aurorus were designed by Hitoshi Ariga.[14] Their design draws inspiration from the Amargasaurus, which had a row of spines extending down its neck.[15] These are Fossil Pokemon, and must be revived to be obtained"
699,Aurorus,
700,Sylveon,"A pink Pokémon adorned with ribbons and butterfly-like bows,[52] Sylveon use their ribbon-like feelers to soothe trainers and Pokémon alike.[53] It is the eighth branching evolution to Generation I's Eevee. It was revealed on February 14, 2013, before the official announcement of Fairy-type.[52] Sylveon was designed by Atsuko Nishida.[54]"
701,Hawlucha,Hawlucha's design is inspired by Mexican luchadors. Its design has received praise for being creative.[18][55]
702,Dedenne,
703,Carbink,"Although Carbink has no evolution in-game, the species canonically can transform into Diancie (#719) under certain, unspecified circumstances.[56]"
704,Goomy,"Goomy's ""goofy"" design earned it unusual popularity and spawned a meme: ""The Church of Goomy"".[55][57] It is considered among the cuter, though in an eccentric manner, Pokémon introduced in Generation VI.[58]"
705,Sliggoo,
706,Goodra,"It is based on the Lou Carcolh, a mythical serpent/mollusk creature from French folklore. Alternatively, it could be based on the yōkai called Shussebora, meaning ""ascended trumpet shell"", which is a trumpet shell snail that lives 1000 years in the mountains, 1000 on the plains, and 1000 at sea, then will ascend and turn into a dragon."
707,Klefki,"Klefki was designed by Pokémon graphic designer Mana Ibe and inspired by ""old mansions and secret keys"".[59] It may also be at least partially inspired by the Japanese yōkai Tsukumogami, household objects that gain souls.[55] Video game journalists regarded its design as among the worst of new Pokémon introduced in X and Y,[55][60] and characterized the design as uninspired, insipid, strange, and an example of Game Freak's ""creative bankruptcy"".[61][62][63] It has also been regarded as one of the worst Pokémon in general.[64][65][66][67] IGN readers voted Klefki as the ninth-worst Pokémon from Pokémon X and Y with Justin Davis joking that it was created when a designer lost his keys.[68] VentureBeat called it ""ugly,"" stating that it was no surprise that they made a Pokémon based on keys due to running out of ideas.[69] GameRevolution, The Daily Telegraph, and The Huffington Post considered Klefki as one of the weirdest Pokémon ever, while Chris Davidson of Comic Book Resources listed Klefki as the most questionable Pokémon design.[70][71][72][73] Hayes Madsen of Screen Rant claimed that Klefki should never have been made, noting derisively that it is a Pokémon based on an inanimate object.[74] Kassandra Khaw of USGamer expressed annoyance that Klefki was so useful in competitive Pokémon play due to how ""sloppily designed"" she found it to be.[75]GameRevolution claimed that Klefki is their favorite Pokémon, despite the criticism it's received.[76] The A.V. Club stated that they found Klefki's simplicity amusing.[77] Chris Plante of Polygon counted Klefki among their favorite Pokémon, alongside Pikachu and Squirtle.[78] Kyle Hilliard of GameInformer claimed that Klefki is his favorite Pokémon in Pokémon Sun and Moon, but described it as the weirdest Pokémon ever.[79][80] Mike Minotti for VentureBeat claimed that Klefki is so stupid that it made it awesome.[81] Kotaku's Patricia Hernandez noted that while players who dislike ""inanimate objects that are somehow Pokémon,"" she had to defend it due to its basis on the Japanese mythological tsukumogami and its ""ridiculous"" design.[82] The Rochester City Newspaper's Willie Clark felt that it was ""awesome.""[83]"
708,Phantump,"It is based on the Kodama, a spirit in Japanese folklore that inhabit trees."
709,Trevenant,"This Pokémon is said to devour anyone daring to ravage the forest. To the creatures dwelling in the forest, it offers great kindness."
710,Pumpkaboo,"Coming in four different sizes, it is based on a Jack-o'-lantern."
711,Gourgeist,
712,Bergmite,"Using air of -150 degrees Fahrenheit, they freeze opponents solid. They live in herds above the snow line on mountains."
713,Avalugg,Its ice-covered body is as hard as steel. Its cumbersome frame crushes anything that stands in its way.
714,Noibat,
715,Noivern,"Its English name is a portmanteau of noisy and wyvern, the latter of which is the inspiration for Noivern's design.[18]"
716,Xerneas,"The game mascot of Pokémon X, Xerneas represents eternity and is said to grace other beings with eternal life.[8][84] Xerneas' design is inspired by the Eikþyrnir of Norse mythology, a stag that stands atop Valhalla.[5]"
717,Yveltal,"The game mascot of Pokémon Y, Yveltal is a creature of destruction capable of absorbing the life energy of other living beings.[8][85] Yveltal's design is inspired by the Hræsvelgr of Norse mythology, a giant eagle able to make the wind blow by flapping its wings.[5]"
718,Zygarde,"Zygarde's design is inspired by the Níðhöggr of Norse mythology, a dragon that eats away at the roots of the world tree, Yggdrasil.[5] Zygarde normally appears as two blob-like Zygarde Cores, which individually absorb the immobile Zygarde Cells to assume the dog-like 10% Power or base 50% Power form. But the two Zygarde Cores can also combine together with every Zygarde Cell to assume their humanoid Perfect or Complete form.[29][86] Its signature move in this form (and its other forms) is Core Enforcer. The seventh generation also gave Zygarde three other signature moves: Thousand Arrows, Land's Wrath, and Thousand Waves."
719,Diancie,"Said to be ""the loveliest sight in the whole world,""[56] Diancie are capable of creating diamonds at will. A Mythical Pokémon, Diancie is not readily found in-game and is only available through Nintendo distributions.[87] It was originally discovered by hackers on October 26, 2013,[88] and not officially revealed by Game Freak until February 11, 2014.[89] Diancie is the only Pokemon capable of learning the move Diamond Storm. When Diancie uses Diamond Storm, it whips up a storm of Diamonds to attack the target. It can also raise Diancie's Defense stat. It can also Mega Evolve."
720,Hoopa,"""Hoopa Confined""[90] are small, mischievous Pokémon that are capable warping space.[91] A Mythical Pokémon, Hoopa is not readily found in-game and is only available through Nintendo distributions.[92] It was originally discovered by hackers on October 26, 2013,[88] and not officially revealed by Game Freak until January 11, 2015.[93]"
,,"Using the Prison Bottle item, Confined Hoopa can transform into a considerably larger and more powerful form called ""Hoopa Unbound"".[90] Known as the Djinn Pokémon, it is capable of seizing any object in the world and can teleport anything through space.[94][95]"
721,Volcanion,"A unique dual Fire- and Water-type Pokémon, Volcanion are able to create scalding steam within their body and expel it with enough force to destroy mountains.[96] Volcanion is the only Pokemon capable of using the move Steam Eruption, which immerses the target in superheated steam, and can burn the target. A Mythical Pokémon, Volcanion is not readily found in-game and is only available through Nintendo distributions. It was originally discovered by hackers on October 26, 2013,[88] and not officially revealed by Game Freak until December 14, 2015.[96]"
3,Mega Venusaur,"In order to support the massive flower it has, its back legs have become stronger."
6,Mega Charizard,Charizard obtained two Mega Evolutions in X and Y. They were made version exclusive to promote interaction and trading between players.[3]
,,"Mega Charizard X's black and blue body is the result of the power of Mega Evolution. In this form, Charizard has the Fire-Dragon typing."
,,"Mega Charizard Y's bond with its trainer is apperantly the source of its power. At max speed, it's fast enough to surpass a fighter jet."
9,Mega Blastoise,The power of its water cannons on its back is about as powerful as a tank gun. Its legs were made to withstand the recoil that its cannons make.
15,Mega Beedrill,Its legs now have poisonous stingers on them. It will repeatedly stab its foe with them and deal the final blow with its rear stinger.
18,Mega Pidgeot,"Mega Pidgeot's wing strength is now significantly enhanced, enabling it to be able to fly for 2 weeks straight."
65,Mega Alakazam,"Its muscles and strength have been traded in for more psychic power. Not only can it see a person's entire life in a glance, but when attacks miss, it's because it's seeing the future with the red organ on its head."
80,Mega Slowbro,"With Shellder now taking up majority of poor Slowpoke's body, it acts like a comfortable iron defense for it. It's apparently under Shellder's digestive fluid."
94,Mega Gengar,"With part of its body in another dimension, waiting for an opportunity to strike, it will try to kill anyone and everyone, even those it loves and trusts. However, it will ignore foes unless it is considered prey to it. Its body is full of strange powers."
115,Mega Kangaskhan,"Mega Evolution energy has temporarily growth on the baby. This causes the mother, seeing this, to think about the day the baby will grow up and leave it. The baby, now in a growing state, is only good at fighting. But in battle, they work harmoniously together. Kangaskhan hasn't physically changed in Mega Evolution."
127,Mega Pinsir,"Now in a constant state of extreme happiness, its wings have unusually developed. It rarely touches the ground as it zooms off at 30 mph looking for foes to stab and shred with its 2 giant horns."
130,Mega Gyarados,"Its destructive nature has further ascended thanks to Mega Evolution energy, placing a burden on it only adding to its rage. Now its native instinct is to destroy everything it sees using power jets of water coming from the red orifices on its sides. It will rush out of the sea at times, and if a ship is caught in the way, it will be cleanly split in half. However, it will listen to a Trainer it really trusts if it isn't obeying its destructive drive."
142,Mega Aerodactyl,"Mega Evolution has awoken some dominant genes making Aerodactyl into what some scholars say is its true form, covering it with stones that are apparently harder than diamonds. In turn, this has made it so irritable, vicious and what some would say painful, that it attacks anything that moves."
150,Mega Mewtwo,"Like Charizard, Mewtwo was given two Mega Evolutions for X and Y because of Game Freak's fondness for the creature. They were made version exclusive to promote interaction and trading between players.[3]"
,,Mega Mewtwo X has augmented psychic muscles that allow it to have a grip strength of one ton and can sprint 100 meters in 2 seconds flat.
,,"Mega Mewtwo Y's smaller body has allowed it to increase its psychic power so much, that it can reduce an entire skyscraper to pebbles with just one mere thought."
